,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
7188,真的！真的！我怎麼會騙您呢？,劉輝,fear,1115,7
7189,哦。那我出去了。,劉輝,neutral,1116,0
7190,恩。,陳世家,neutral,1116,1
7191,不行！幹了他，我們也就完了！他爸還沒被抓到，要是他知道了，肯定會供出我們的。,陳世家,angry,1117,0
7192,那我們怎麼辦？,手下,fear,1117,1
7193,我自有辦法！,陳世家,joy,1117,2
7194,你就別擔心她了，她又不是小孩子了。,張愛,neutral,1118,0
7195,脾氣怎麼變得這麼壞？哎，我現在也沒精力管你們了，都快累趴下了。,宋喬,sadness,1118,1
7196,你也是，誰讓你什麼事都想管，現在好了，累得不行了吧？,張愛,neutral,1118,2
7197,她是我女兒，我這個當媽的能不管嗎？我們不管還有誰願意管她呀？就她那脾氣，也只有我們能忍受得了。,宋喬,sadness,1118,3
7198,你呀！現在只要管好爸和你自己就行了，我們這年輕人的事我們自己會想辦法的，你就別太操心了。,張愛,neutral,1118,4
7199,這樣最好。哦，對了，你爸再過幾天就要出院了。得把阿心找到，讓她和子明離婚去。不然，陳世家又得找麻煩了。,宋喬,neutral,1118,5
7200,再說吧！爸不是還沒出院嗎？,張愛,neutral,1118,6
7201,唉。,宋喬,sadness,1118,7
7202,喂？,張心,neutral,1119,0
7203,你在哪呢？,張愛,neutral,1119,1
7204,我在哪關你什麼事啊？,張心,disgust,1119,2
7205,爸再過幾天就要出院了。你。,張愛,surprise,1119,3
7206,是想讓我回來跟子明離婚是吧？告訴你，我是不會離的！,張心,angry,1119,4
7207,小輝，你怎麼了？,陳世家,surprise,1120,0
7208,沒。沒事。就是有點。有點。,劉輝,fear,1120,1
7209,到我辦工室來一下。,陳世家,neutral,1120,2
7210,哦。,劉輝,neutral,1120,3
7211,謝謝。,劉輝,neutral,1121,0
7212,怎麼樣？舒服點了吧？,陳世家,joy,1121,1
7213,煙啊！怎麼了？,陳世家,surprise,1122,0
7214,這是什麼煙啊？,劉輝,surprise,1122,1
7215,我自制的。怎麼樣？味道不錯吧？,陳世家,joy,1122,2
7216,這。這裏面。,劉輝,fear,1122,3
7217,有白粉。,陳世家,joy,1122,4
7218,爲什麼要讓我抽？,劉輝,fear,1122,5
7219,我沒讓你抽啊？是你自己抽的啊？我遞給你你就抽了，這可不能怪我啊？,陳世家,joy,1122,6
7220,爲什麼？,劉輝,fear,1122,7
7221,現在你已經知道了我的祕密，就和我們是同一條船上的人了，可不能幹什麼不該乾的事哦！,陳世家,joy,1122,8
7222,我怎麼會。陳叔叔你放心，我不會說出去的。,劉輝,fear,1122,9
7223,這樣最好。那，現在既然大家都是自己人了，何必講究什麼呢？,陳世家,joy,1122,10
7224,是。,劉輝,neutral,1122,11
7225,這就對了嘛！哈哈哈。好，你以後就跟着我幹，少不了你的好處！,陳世家,joy,1123,0
7226,是！謝謝陳叔叔。,劉輝,joy,1123,1
7227,你拍她幹嘛？,乙,surprise,1124,0
7228,問她要證據啊！,甲,neutral,1124,1
7229,那個女孩子是誰？,甲,surprise,1125,0
7230,不知道。她爲什麼要跟蹤他們？她到底是誰啊？,乙,surprise,1125,1
7231,快通知局裏！,甲,surprise,1126,0
7232,是。,乙,neutral,1126,1
7233,我去跟着。你在這盯着這些人。,甲,neutral,1127,0
7234,好。小心點。,乙,fear,1127,1
7235,恩。,甲,neutral,1127,2
7236,真險！,手下,surprise,1128,0
7237,快通知其他人轍！,劉輝,surprise,1128,1
7238,是。,手下,neutral,1128,2
7239,人在哪？,胡永成,surprise,1129,0
7240,快，去包間！,甲,surprise,1129,1
7241,這些都帶走。,胡永成,angry,1130,0
7242,是。,甲,neutral,1130,1
7243,這些人都抓住了嗎？,胡永成,surprise,1130,2
7244,跑了兩個。,甲,angry,1130,3
7245,跑了兩個？,胡永成,surprise,1130,4
7246,是。我剛纔正準備追，可是跑出了卻不見了人影。,甲,neutral,1130,5
7247,先把這些人帶回去審。,胡永成,neutral,1130,6
7248,是。不過，我們剛纔在監視過程中，有一個女孩子也跟蹤着他們，她還偷拍下了他們吸毒的畫面。,甲,neutral,1130,7
7249,女孩子？你們認識嗎？,胡永成,surprise,1130,8
7250,不認識。不過我拍下了她。,甲,neutral,1130,9
7251,距離有點遠，拍的不太清晰。有點看不清。,甲,neutral,1131,0
7252,好像。阿心？！不會吧？,胡永成,surprise,1131,1
7253,啊！終於回來了！還好沒被發現。嚇死我了！,張心,fear,1132,0
7254,他竟然吸毒？！太可怕了！哼！劉輝，這下你死定了！,張心,angry,1132,1
7255,怎麼？還沒定下心？,手下,surprise,1132,2
7256,真是夠危險的，剛纔差點就完了。,劉輝,fear,1132,3
7257,幹我們這行的，就這樣。都是提着腦袋乾的。坐牢是早晚的事！,手下,neutral,1132,4
7258,真他媽的倒黴！,劉輝,angry,1132,5
7259,認命吧！你既然都做了就沒有退路了。,手下,neutral,1132,6
7260,我不幹了行不行？,劉輝,fear,1132,7
7261,不幹了？要真能這樣就好了。,手下,neutral,1132,8
7262,什麼意思？,劉輝,surprise,1132,9
7263,你以爲你想幹就幹，想不幹就不幹啊？哪那麼容易！,手下,disgust,1132,10
7264,大不了我現在去自首還不行嗎？,劉輝,neutral,1132,11
7265,哇！你去自首？你想害死我們啊？,手下,fear,1132,12
7266,我自我的首，怎麼會害了你們？,劉輝,surprise,1132,13
7267,你以爲那些警察是吃乾飯的呀？只要一個人落網，大家都得完！,手下,fear,1132,14
7268,那我們現在不就要完了？酒吧裏的幾個已經被抓了。,劉輝,fear,1132,15
7269,所以呀！現在得趕快趕回去告訴老闆。,手下,neutral,1132,16
7270,喂？你在想什麼？,手下,surprise,1133,0
7271,哦。沒什麼，開你的車吧。,劉輝,neutral,1133,1
7272,這就對了嘛！只要你好好跟着我，我保證你爸爸沒事。恩？,陳世家,joy,1134,0
7273,真的？,劉輝,surprise,1134,1
7274,叔叔什麼時候騙過你啊？,陳世家,neutral,1134,2
7275,好！我答應你！不過，你也得說話算數。,劉輝,neutral,1134,3
7276,當然！哈哈哈。好了，沒事的話就出去工作吧。,陳世家,joy,1134,4
7277,恩。,劉輝,neutral,1134,5
7278,好！算你狠！咱們走着瞧！誰輸誰贏還不一定呢！,劉輝,angry,1134,6
7279,終於可以出院了。都悶死我了！,張一榮,joy,1135,0
7280,爸，今天心情好吧？,張愛,joy,1135,1
7281,恩！不錯！晴天！,張一榮,joy,1135,2
7282,那就好！大家都準備好好地給你接風洗塵呢！,張愛,joy,1135,3
7283,恩！那好！心情由晴轉大太陽！,張一榮,joy,1135,4
7284,就知道跟你爸貧。,宋喬,joy,1135,5
7285,好。東西都收拾好了嗎？,張一榮,neutral,1136,0
7286,好了！看你急的！,宋喬,joy,1136,1
7287,能不急嘛？盼了好久，終於可以出院了，當然急了！,張一榮,joy,1136,2
7288,唉呀！出院了！恭喜啊！,陳世家,joy,1137,0
7289,你來做什麼？,宋喬,disgust,1137,1
7290,怎麼？來看看不行啊？,陳世家,joy,1137,2
7291,那好，你看你的，我們走！,宋喬,angry,1137,3
7292,等一下！他這病是好了，你們答應我的事呢？是不是也應該兌現了？,陳世家,surprise,1137,4
7293,知道。回去我們會安排的。,宋喬,neutral,1137,5
7294,不用了！一切我都已經安排好了。下個星期六。婚禮都安排好了。你們什麼都不用準備，到時候過去就可以了。,陳世家,joy,1137,6
7295,知道了。,宋喬,neutral,1137,7
7296,知道就好。到時候別讓我再來請一遍。,陳世家,joy,1137,8
7297,放心！到時候一定準時到。,宋喬,neutral,1137,9
7298,爸，我知道你特不高興。可是，我們也沒有辦法才這樣的。,張愛,sadness,1138,0
7299,我知道！難爲你們啦！我不氣，真的！他本來就是你爸爸！你認他也是應該的。其實這也不是什麼壞事啊！既爲我治了病，又能和子明結婚，一舉兩得嘛！應該高興！應該高興。,張一榮,joy,1138,1
7300,有你這句話，我就放心啦！,張一榮,joy,1139,0
7301,就是嘛！表面上認了他，只要心裏想着我們，就夠了。,宋喬,joy,1139,1
7302,當然啦！我永遠都是你們的女兒！誰也搶不走！,張愛,joy,1139,2
7303,對！誰也搶不走！,張一榮,joy,1139,3
7304,你笑什麼？,張愛,surprise,1140,0
7305,你們開心我當然也開心啦！我也跟着笑嘛！,陳子明,joy,1140,1
7306,傻子才這樣呢！,張愛,joy,1140,2
7307,那非常不幸，你要嫁給我這個傻子羅！,陳子明,joy,1140,3
7308,懶得跟你說！我還是多跟爸溝通溝通吧！,張愛,joy,1140,4
7309,親家回來啦？,陳母,surprise,1141,0
7310,喲！你們都在呢？,張一榮,joy,1141,1
7311,恩！我今天真是高興！這麼多人迎接我啊！,張一榮,joy,1142,0
7312,李曉，你搞什麼？怎麼滿臉的麪粉啊？,張愛,surprise,1142,1
7313,在做餃子啊！大團圓嘛！,李曉,joy,1142,2
7314,你也下廚啦？,張一榮,surprise,1143,0
7315,可不是！爲了給你接風洗塵，怎麼的也得露一手嘛！,陳父,joy,1143,1
7316,怎麼樣？高興吧？,宋喬,joy,1143,2
7317,高興！高興！樂壞了都！,張一榮,joy,1143,3
7318,你先坐着，我們繼續忙着。,陳父,joy,1143,4
7319,我來幫忙。,張愛,joy,1143,5
7320,我也去幫忙去。子明你陪着你爸。,宋喬,joy,1144,0
7321,恩。,陳子明,joy,1144,1
7322,我去開。,宋喬,neutral,1145,0
7323,阿心？快進來。,宋喬,surprise,1145,1
7324,爸，你出院了？,張心,surprise,1145,2
7325,恩。你去哪了？也沒去接我？,張一榮,surprise,1145,3
7326,我。,張心,fear,1145,4
7327,她有事。回來就好了。我去幫忙做飯。,宋喬,neutral,1145,5
7328,爸，我買了你愛吃的橙子，我給你剝一個？,張心,neutral,1145,6
7329,恩。還真有點饞了。,張一榮,joy,1145,7
7330,我去拿藥來，今天都沒吃藥。,陳子明,neutral,1145,8
7331,沒吃飯怎麼能吃藥？對胃不好，還是待會吃了飯再吃藥吧！,張心,fear,1145,9
7332,阿心說得對。聽她的，吃了飯再吃藥。,張一榮,joy,1145,10
7333,哦。,陳子明,neutral,1145,11
7334,怎麼？剛出去幾天又不是出去了幾年了，我回來有這麼奇怪嗎？,張心,surprise,1146,0
7335,沒有。只是沒想到你會知道爸今天出院會回來看爸。,張愛,neutral,1146,1
7336,雖然我任性，但怎麼會不關心爸？爸出院我肯定要回來啦。,張心,neutral,1146,2
7337,得！再說又得吵起來了。趕快給我剝橙吧！,張一榮,neutral,1146,3
7338,誰要跟她吵。,張心,disgust,1146,4
7339,首先，今天是老張出院的日子，值得慶祝！我們先乾一杯！,陳母,joy,1147,0
7340,什麼老張老張的？應該叫親家！,陳父,joy,1147,1
7341,沒事！這樣叫更親切嘛！就這樣叫挺好！,張一榮,joy,1147,2
7342,就是！這樣叫很順口嘛！,陳母,joy,1147,3
7343,來來來！大家先乾一杯！,張一榮,joy,1147,4
7344,這第二件值得慶祝的喜事就是子明和小愛馬上要結婚啦！也要。,陳母,joy,1148,0
7345,不會說話就別說！沒人把你當啞巴。,陳父,disgust,1148,1
7346,哦呵呵。今天呢主要是慶祝叔叔出院，怎麼能談別的事呢？,李曉,joy,1149,0
7347,就是！咱們可是專門爲老張慶祝的，怎麼能談別的事呢？,宋喬,joy,1149,1
7348,對！老張，你今天出院，大家都很高興！我今天可是親自下廚啊！你可一定要好好嚐嚐我的手藝哦！來，快嚐嚐！做得都是你愛吃的。,陳父,joy,1149,2
7349,就是就是！我們家老陳可不輕易下廚的哦！,陳母,joy,1149,3
7350,哦？是嘛？那我可得好好嚐嚐！,張一榮,joy,1149,4
7351,大家都吃！菜都涼了。來，老張，嚐嚐這個。,陳父,joy,1149,5
7352,好。,張一榮,joy,1149,6
7353,怎麼樣？,陳父,neutral,1149,7
7354,恩！果然好吃！好吃！比老宋做得都好吃！,張一榮,joy,1149,8
7355,那我以後可得向親家學習啊！,宋喬,joy,1149,9
7356,那可不敢當啊！,陳父,joy,1149,10
7357,你最愛吃的紅燒肉。,陳子明,joy,1150,0
7358,恩。謝謝。,張愛,joy,1150,1
7359,阿心，你也多吃點。,陳母,joy,1151,0
7360,謝謝。,張心,joy,1151,1
7361,該吃藥了。,張心,neutral,1152,0
7362,恩。,張一榮,neutral,1152,1
7363,阿心，你也來吃點水果吧。,宋喬,joy,1152,2
7364,不了，我要回去了。,張心,neutral,1152,3
7365,回去？回哪去？,張一榮,surprise,1152,4
7366,我。回租的房子。,張心,neutral,1152,5
7367,阿心，你在外面租房子幹嘛？,陳母,surprise,1152,6
7368,現在家裏住不下。我還是回租的房子吧！,張心,neutral,1152,7
7369,沒事。我今晚回我家去。,陳子明,neutral,1152,8
7370,就是啊！你們現在已經離婚了，子明還是先回家住吧！,陳母,neutral,1152,9
7371,就是！這麼晚了，一個人多不安全。今晚就別走了。在家住。,張一榮,fear,1152,10
7372,聽你爸爸的。,宋喬,neutral,1153,0
7373,媽。,張心,neutral,1153,1
7374,恩？你不是睡了嗎？,宋喬,surprise,1153,2
7375,我可以和你聊聊嗎？,張心,neutral,1153,3
7376,好啊。,宋喬,neutral,1153,4
7377,劉哥，你短信。,甲,neutral,1154,0
7378,管他什麼狗屁短信！來！喝！,劉輝,angry,1154,1
7379,喝！,甲,joy,1154,2
7380,你們先喝着，我去方便一下。,劉輝,neutral,1154,3
7381,誰呀？,劉輝,surprise,1155,0
7382,你是誰？,劉輝,surprise,1155,1
7383,我的聲音都不出來了？你可真是貴人多忘事啊！,張心,disgust,1155,2
7384,阿心！你想幹什麼？你怎麼會有這個的？你跟蹤我？,劉輝,surprise,1155,3
7385,別那麼緊張嘛！我又沒說要告你！幹嘛那麼急？,張心,neutral,1155,4
7386,你想幹什麼？,劉輝,fear,1155,5
7387,想讓你幫個忙。只要你肯幫，我就把這東西消了，你要是不幫，自己看着辦。,張心,neutral,1155,6
7388,什麼事？,劉輝,surprise,1155,7
7389,明天下午，我會再給你打電話，見了面再說。,張心,neutral,1155,8
7390,好。,劉輝,neutral,1155,9
7391,想喝點什麼呀？我請客！,張心,joy,1156,0
7392,有話直說！我沒功夫在這跟你瞎扯淡！,劉輝,disgust,1156,1
7393,喲！這麼長時間沒見，長脾氣了呀！你就這麼不想見到我呀？,張心,neutral,1156,2
7394,你到底想怎麼樣？,劉輝,angry,1156,3
7395,我想怎麼樣？我沒怎麼樣啊？,張心,joy,1156,4
7396,你在哪拍的這個東西？,劉輝,surprise,1156,5
7397,你說呢？,張心,joy,1156,6
7398,你跟蹤我？,劉輝,surprise,1156,7
7399,切！我跟蹤你？吃飽了撐的呀？我可沒那閒功夫！,張心,disgust,1156,8
7400,把東西給我！,劉輝,angry,1156,9
7401,給你可以！不過，天下可沒白吃的午餐。我既然叫你出來，肯定是有條件的。,張心,neutral,1156,10
7402,什麼條件？說！,劉輝,angry,1156,11
7403,很簡單。我不想讓陳子明和我姐結婚。你得想辦法，讓他們倆結不了婚。事成之後，我就把這個內存卡給你。,張心,neutral,1156,12
7404,什麼？你要我去破壞陳子明和你姐的婚禮？,劉輝,surprise,1156,13
7405,不是破壞婚禮，我不想讓他們結。你必須在他們結婚之前阻止。如果他們要是結了婚，後果自負！,張心,neutral,1156,14
7406,要不要玩得這麼絕啊？至於這樣對我嘛？,劉輝,fear,1156,15
7407,那你又是怎樣對我的？現在說我絕？到底是誰更絕啊？既然你先不仁，那就別怪我不義！,張心,angry,1156,16
7408,阿心你聽我說。,劉輝,fear,1156,17
7409,不想聽！我告訴你，不要想讓我放過你，不可能的！現在這個東西是我唯一的籌碼，不然，我就會輸！到時候真的就什麼都沒有了！我告訴你！最好在下星期六之前解決這件事，不然，這個東西會出現在警察局裏。幹嘛不說話？好！既然你不答應，我們就沒什麼好談的了。,張心,angry,1156,18
7410,想威脅我？沒那麼容易！不想被收拾的話就趕快把內存卡交出來！看在我們以前認識的份上，我可以不和你計較。,劉輝,angry,1157,0
7411,你笑什麼？有什麼好笑的？,劉輝,surprise,1157,1
7412,你以爲我真會那麼笨，會把東西帶在身上？早知道你會玩這一套！我也有準備。這段視頻存在我的內存卡上，現在內存卡在我朋友那兒，如果兩小時我不回去的話，那麼，內存卡會出現在公安局裏。怎麼樣？現在還想問我要嗎？,張心,joy,1157,2
7413,可以啊！一段時間沒見，頭腦變靈活了呀！,劉輝,surprise,1157,3
7414,沒辦法！跟你這種人打交道，能不多長個心眼嗎？哼！,張心,disgust,1157,4
7415,好！我答應你！不過，我也有條件的。,劉輝,neutral,1157,5
7416,說！,張心,neutral,1157,6
7417,如果我幫你辦成了。你不但要把東西給我，而且要保密，不能說這事是我乾的。,劉輝,neutral,1157,7
7418,成交！,張心,joy,1157,8
7419,老大！要不要跟上去？,甲,angry,1158,0
7420,不用了！小心被那些人發現。她早有準備，別跟了！,劉輝,angry,1158,1
7421,你們這是幹嘛呀？有什麼事嗎？,張心,fear,1159,0
7422,我們想讓你給我們提供一些線索。,胡永成,neutral,1159,1
7423,提供什麼線索呀？我什麼都不知道，能幫你們提供什麼呀？,張心,surprise,1159,2
7424,什麼意思？,張心,fear,1160,0
7425,你認識這個人嗎？,胡永成,neutral,1160,1
7426,不認識。,張心,fear,1160,2
7427,我們覺得這個人很像你，所以想確認一下。,胡永成,neutral,1160,3
7428,怎麼可能？怎麼可能是我？這兩天我爸爸出院，我們都忙着我爸爸的事，我很少出門的。,張心,surprise,1160,4
7429,叔叔出院了？,胡永成,surprise,1160,5
7430,對呀？前天剛出的。,張心,neutral,1160,6
7431,哦，我不知道。改天再去拜訪他。對了，你怎麼跑來酒店住了？又和家裏鬧矛盾了？,胡永成,surprise,1160,7
7432,哦，這個。恩，算是吧。實在在家呆不下去了，出來清靜幾天。,張心,neutral,1160,8
7433,聽說你姐快結婚了？,胡永成,neutral,1160,9
7434,恩。你怎麼知道的？,張心,surprise,1160,10
7435,這婚事是人家大老闆操辦的，肯定隆重。早早就開始發請柬了。我也是剛知道的。,胡永成,neutral,1160,11
7436,哦。,張心,neutral,1160,12
7437,好了，既然這樣，我就先回去了。,胡永成,neutral,1160,13
7438,恩。,張心,neutral,1160,14
7439,還是回家去吧！外面不安全。,胡永成,fear,1160,15
7440,謝謝。知道了。,張心,neutral,1160,16
7441,走了。,胡永成,neutral,1160,17
7442,恩。,張心,neutral,1160,18
7443,恩。爸。,張心,neutral,1161,0
7444,恩。,張一榮,neutral,1161,1
7445,怎麼突然回來了？,宋喬,surprise,1162,0
7446,怎麼？不回來整天唸叨，回來了又要問。你到底想怎麼樣？,張一榮,disgust,1162,1
7447,這孩子的脾氣我是越來越摸不透了。真不知道一天在想些什麼！她和子明這事到底怎麼辦嘛？,宋喬,fear,1162,2
7448,等會我跟她說。,張一榮,neutral,1162,3
7449,怎麼了？你們又在討論什麼呢？,張愛,surprise,1163,0
7450,阿心回來啦？,張愛,surprise,1163,1
7451,怎麼？又礙着你啦？,張心,disgust,1163,2
7452,你怎麼這麼說話？你姐也只不過問了你一下嘛？,宋喬,angry,1163,3
7453,阿心，過來，我想和你談談。,張一榮,neutral,1163,4
7454,又有什麼事啊？,張心,disgust,1163,5
7455,你媽都告訴我了。孩子沒了，我們大家心裏都很難受。你的心情我們也能理解。可是，畢竟事情都發生了。你也要儘快調整好自己的情緒。,張一榮,neutral,1164,0
7456,我知道。我現在不是已經好了嘛？還有什麼可調整的？,張心,disgust,1164,1
7457,我知道。你受了很多委屈，這對你很不公平。可是，我們也實在沒有辦法。,張一榮,sadness,1164,2
7458,我知道！你不就是想讓我趕快和子明把離婚手續辦了嘛？我回來就是爲這事的。,張心,disgust,1164,3
7459,真的？阿心，你想通了？,宋喬,surprise,1164,4
7460,想不通又能有什麼辦法？我還有選擇嗎？,張心,neutral,1164,5
7461,阿心，我知道委屈你了。你放心，以後我和子明一定會好好愛護你，好好保護你的。,張愛,neutral,1164,6
7462,得了！我不需要什麼保護！又不是三歲孩子了！這套對我不受用。我可不會感動得熱淚盈眶。我累了，去睡了。,張心,disgust,1164,7
7463,唉？那你準備什麼時候辦啊？這時間不多了。,宋喬,surprise,1165,0
7464,明天！請你們放心，我不會耽誤這位大小姐的婚禮的！,張心,disgust,1165,1
7465,唉？。,宋喬,surprise,1166,0
7466,你也是！她都已經答應了，什麼時候辦她心裏有數！幹嘛非得逼個日期出來？她現在心裏難受，你也應該爲她想想嘛！,張一榮,angry,1166,1
7467,爸說得對，媽，她想什麼時候辦就什麼時候辦吧！既然阿心都已經答應了，她肯定會在星期六之前和子明辦好的。你也別逼得太緊了。,張愛,neutral,1166,2
7468,這個我知道！我也不是就問了一下嘛？怎麼？你們倆倒和起夥來教訓我了？我說得有什麼錯嗎？,宋喬,angry,1166,3
7469,你看你這人，說不得！我們也是實事求是，誰說你說得不對了？,張一榮,angry,1166,4
7470,好啦！你們倆就別吵了！家和萬事興！家和萬事興。,張愛,neutral,1166,5
7471,你到底什麼時候動手？我這邊逼得緊，你再不動手，我可不等了！,張心,angry,1167,0
7472,你要我怎麼動手？沒有合適的機會叫我怎麼動手？,劉輝,angry,1167,1
7473,別找藉口了你！她又不是尼姑，又不是整天在家裏打坐，怎麼沒機會？辦不成就是辦不成，少找藉口！,張心,angry,1167,2
7474,你還別說！我看你姐這幾天就是在家打坐來着！都不出門的，叫我怎麼下手？,劉輝,surprise,1167,3
7475,我假裝答應她們明天去辦手續。你自己找機會看着辦！告訴你，辦不成我可不等了！,張心,angry,1167,4
7476,喂？喂！媽的！臭女人！,劉輝,angry,1168,0
7477,沒用的東西！。,張心,angry,1168,1
7478,起這麼早？,宋喬,surprise,1169,0
7479,不是說好要辦手續嗎？她人呢？,張心,disgust,1169,1
7480,你和子明去就行了。幹嘛叫人小愛呀？,宋喬,surprise,1169,2
7481,怎麼？不行啊？我偏要叫上她。,張心,angry,1169,3
7482,她應該快起來了吧？,宋喬,neutral,1169,4
7483,得！我先去洗臉了。,張心,neutral,1169,5
7484,起來啦！快洗臉去，吃完早餐和阿心去辦手續。,宋喬,neutral,1170,0
7485,她和子明去就行了。幹嘛非得叫上我呀？,張愛,disgust,1170,1
7486,不行！你必須得跟着去！不然不辦了就是了。我無所謂！,張心,neutral,1171,0
7487,好好好！我去，行了吧？,張愛,disgust,1171,1
7488,隨便你去不去！,張心,disgust,1171,2
7489,喲！永成來了！快進來！,宋喬,joy,1172,0
7490,阿姨，聽說叔叔出院了，來看看！,胡永成,joy,1172,1
7491,永成來啦？快快快！快坐！,張一榮,joy,1172,2
7492,叔叔，恢復得怎麼樣？,胡永成,joy,1172,3
