,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
40,正鵬，你來多久啦？真是個青年積極分子！讓你久等了！,徐麗華,surprise,7,1
41,麗華，今天我約你來這裏我想好好和你談談。不然的話你真的要後悔！,左正鵬,neutral,7,2
42,我告訴你不後悔就不後悔的！不過你說你自己還有百分之五十嘛，我還是理解你的。這也是你自己的權力吧！,徐麗華,neutral,7,3
43,麗華，我的百分之五十不是說你不配我，而是我總覺得我自身存在着許多的缺點。害怕結婚後連累你，使你受苦，過不好日子，你明白嗎？,左正鵬,fear,7,4
44,正鵬，你就別拐彎抹角啦！你對我倆的事到底是怎麼想的，你直說出來給我聽聽！,徐麗華,surprise,7,5
45,麗華，“男大當婚，女大當嫁”，這是人間正常的事情。不過我對此有如下想法：第一、現在我倆都還年輕，正是學知識，追求理想和前途的時候，如果過早的將自己的婚姻訂了下來，今後我倆就沒有什麼奔頭了。第二、我家庭條件很差，父母都老了，我的負擔很重，我不願去拖累你呀。第三、去年我在醫院做了“胃穿孔”切除手術。醫生再三囑咐我今後不能乾重體力勞動。如果你嫁給了我，你能過着好日子嗎？第四、我家庭出生不好，我是地主家庭的子弟，而你是貧下中農的子女。從政治條件來看，我是不配你的。黨的政策也有規定：地主子弟是不能和貧下中農子女聯姻的，這在社會上已經形成了共識。這是原則問題呀！麗華，我這些缺點也就是我考慮百分之五十的內容。我如果不說給你聽，你父母是不知道的。到了那時，你父母會責備你的呀！說你是賤骨頭。,左正鵬,sadness,7,6
46,麗華，你別哭，我特別理解你的心情，感謝你對我的信任和真誠的愛。但你還要知道的是愛一個人是要有責任的，同時還要付出一定的代價！請你對我所說的這些三思而行吧！最好你還是另攀高門，今後你就別再提起我們這件事了！祝你幸福吧！我們往後還是最好的同學和朋友！,左正鵬,sadness,7,7
47,正鵬，儘管你對我怎樣解釋都改變不了我對你的愛。雖然你的出生不好這是你沒辦法的事。毛主席說過“出生不由己，道路可選擇”嗎？至於你作了“胃穿孔”切除手術這就更是我對你關心和同情的地方。我願意與你“風雨同舟”，“患難與共”。你也別認爲家庭困難而自卑。困難都是暫時的。只要我倆今後有雙勤勞的雙手，什麼困難都是能克服的。再說我村子的人都知道了我已嫁給了你，你說這話已經傳出去了誰又能收回來呢？你就不考慮下我的感受嗎？你還不知道的是：我今天早晨離家的時候，我父親再三叮囑我，叫你散會以後一定去我家一趟，說有重要事情同你商量！,徐麗華,sadness,7,8
48,有什麼重要事情同我商量？你傳達下不就行了嗎，何必我非去不可！,左正鵬,surprise,7,9
49,他們大人的事情我怎麼知道！,徐麗華,surprise,7,10
50,麗華，我該說的都說跟你聽了，你還執迷不悟呀！,左正鵬,disgust,7,11
51,正鵬，我凡認準的事是任何人都改變不了我的決定！,徐麗華,neutral,7,12
52,麗華，今天你到底要我怎樣？請你給我留點空間行嗎？,左正鵬,disgust,7,13
53,正鵬，你也應該明白，我對你死心踏地的追求也是對你的關心和呵護呀！,徐麗華,neutral,7,14
54,正鵬，今天你如果不答應我，你不論走到哪裏，我就跟着你走到那裏。,徐麗華,neutral,7,15
55,散會後我去你家行了吧？唉！女人給這個世界帶來了麻煩，但這個世界沒有女人又不行……,左正鵬,disgust,7,16
56,女人給你們男人帶來了什麼麻煩？還不是爲了成一個家嗎？,徐麗華,neutral,7,17
57,伯父、伯母，您們今天叫我來有什麼指教？,左正鵬,neutral,8,0
58,小左，你快坐下，事情是這樣的：昨天我和閨女她媽作了商量，你和麗華的年齡也不小啦！我們單方有個提議，你倆的婚慶吉日就定在今年的“元旦”節，你看如何？,徐父,joy,8,1
59,現在離元旦節還有好幾個月。告訴你父母，辦婚事要儘量從簡，不要搞排場。,徐母,neutral,8,2
60,正鵬：我也什麼都不要，越簡單越好。只要你把這件事辦順利點就行啦！,徐麗華,joy,8,3
61,小左，你有什麼想法請儘量說出來，不要老實悶在心裏頭。,徐父,neutral,8,4
62,對！我們都是一家人啦，你有什麼就講什麼吧！,徐母,neutral,8,5
63,伯父、伯母，別的我倒沒有什麼，我最擔心的是，我倆結婚後麗華跟我會吃苦受累的。因我的家庭出生不好，我是地主的子弟呀！父親還經常受大隊幹部的批鬥！遊街，這不是跟你們臉上抹黑嗎？說不定過幾天我爸爸還要受到批斗的。,左正鵬,fear,8,6
64,小左，你這話怎講，地主的子弟就不是中國人嗎？你父親受批鬥與你有啥關係？這是階級鬥爭！這也是當前的形勢所爲。再說人的生死禍福有誰能事先料到？,徐父,surprise,8,7
65,正鵬，我也不相信我們今後會淪爲到哪種地步的！,徐麗華,neutral,8,8
66,伯父、伯母，您們態度既然這樣明朗，我只好從命啦，從今天起我也只好改稱呼叫您們岳父、岳母啦！,左正鵬,joy,8,9
67,感謝岳父、岳母對我的信任。不過我和麗華是自願相愛的，沒有媒介，關於結婚彩禮問題，您們對我就直說吧！,左正鵬,joy,8,10
68,什麼彩禮，我不是跟你說啦，辦婚事要一切從簡嗎！,徐父,surprise,8,11
69,您們怎得講個標準吧！,左正鵬,neutral,8,12
70,什麼標準不標準的，你的父母年紀不是都大了，家裏也不寬裕。要不就給閨女買套衣服表示表示就行啦！只要你今後不論做什麼事都能對得起她，這就是給閨女最好的彩禮！,徐母,joy,8,13
71,岳父岳母，您們胸襟這樣寬闊，處處地方能理解和關心我。今後我一定關心和照顧好麗華。你們放心吧！,左正鵬,joy,8,14
72,爸、媽，我今天五·四開會。麗華同學按預約到了那裏。我拒絕她的求愛，誰知她死纏着我不放。散會後要我到她家裏一趟。她父母單方向我提出了建議：要求我和她閨女在今年元旦節結婚。他們表示不要任何彩禮，一切從簡。並囑咐我回家向您們彙報，您倆意見如何？,左正鵬,neutral,9,0
73,老婆子，你看，別人比我們還急些，我們老實被動着。,左父,neutral,9,1
74,什麼？她們不要任何彩禮，一切從簡？,左母,surprise,9,2
75,是的，她媽說就給麗華買兩套衣服表示表示就行了！,左正鵬,neutral,9,3
76,世上哪有這麼好的事兒，討媳婦不要彩禮的道理！,左母,surprise,9,4
77,媽，今後比這事還好的可多着呢！,左正鵬,joy,9,5
78,那好，那好吧！就這樣定下了，等着瞧你們的！,左母,joy,9,6
79,老婆子，我們來到親家這裏快兩個月了，他倆的歲數比我們還略大些，我們還讓他倆來伺候，真不好意思！,馬父,neutral,10,0
80,是呀！再說，我們的生活費也是他們付，我們付錢他又極力拒絕，這樣長期下去我看是不行的。,馬母,neutral,10,1
81,老婆子，要不這樣吧，我們每天都搶先去買菜，這樣他們就不會去啦,馬父,neutral,10,2
82,這樣爭着也不是事呀！總得有個合理的安排才行。,馬母,neutral,10,3
83,正鵬，箱子裏200元錢你拿了沒有？,徐麗華,neutral,11,0
84,對了，昨天晚上，你不在家，我來不及同你商量，我拿給隊長買耕牛去了。,左正鵬,neutral,11,1
85,怎麼？你拿給生產隊買耕牛去了？！好！好！你逞什麼能？我問問你，生產隊裏有那麼多戶，他們爲什麼不獻出錢來，難道他們沒有嗎？人家比你聰明得多，姓左的，我被你氣死了！,徐麗華,angry,11,2
86,麗華，你情緒別高漲，聽我解釋，生產隊是我們大家，我們自己纔是小家，只有大家富裕，我們小家才能富起來，你說是不是？,左正鵬,neutral,11,3
87,什麼大家、小家的，我只知道“人不爲己天誅地滅”。,徐麗華,angry,11,4
88,這是哪個時代人說的話，你可知道嗎？現在我們是社會主義社會了，人人要講奉獻，大家要關心集體，熱愛集體，生產隊就是我們的大家庭，我們只是大家庭中的一分子。,左正鵬,neutral,11,5
89,左正鵬，你別說了，你當初當着我父母的面說得好聽，今後一定關心我，絕不做對不起我的事，今天我去扯布都沒錢啦，你對得起我嗎？你說呀！你背信棄義，表裏不一，我打死你！,徐麗華,angry,11,6
90,你買布放在下次不就行了嗎！反正布票還在我們手裏。生產隊買耕牛耕田是大事呀！,左正鵬,neutral,11,7
91,正鵬，你這個地主崽子，你竟敢和我們貧下中農子女作對，是嗎？你反對貧下中農就是反對革命。,徐麗華,angry,11,8
92,麗華，不是我說你，正鵬從地裏回來，你飯也沒給他做，我認爲家裏錢給生產隊買耕牛是正事，你沒錢買布有什麼了不起的事情，你這不是胡鬧嗎？做妻子的總要講點道理嘛！,左母,disgust,11,9
93,死老鬼，多管閒事！,徐麗華,angry,11,10
94,不是我多管閒事，這是我應該管的“閒事”！,左母,angry,11,11
95,家務事難道正鵬不能做嗎？非得我去做才行！,徐麗華,angry,11,12
96,這是農忙時節，正鵬既要教書，又要種田，夠辛苦的，早晨你在家裏應該把他的飯煮好嘛，你看他快要到學校上課去了，現在飯也沒有吃。,左母,disgust,11,13
97,媽：你別和她辯啦！她那沒有教養的東西能懂得什麼道理！,左正鵬,disgust,11,14
98,誰說我沒有教養？我做了什麼虧人的事，你快說呀！,徐麗華,angry,11,15
99,同學們，很抱歉！今天家裏有點事遲來了一步。下面請翻開課本45頁。我們再來學習一篇新的課文。,左正鵬,neutral,12,0
100,左正鵬，你這個砍頭的，今天你一定要跟我賠個不是，否則，我沒完沒了的！,徐麗華,angry,12,1
101,這是學校，是我工作的地方，請你注意點場合行嗎！,左正鵬,surprise,12,2
102,小徐，你有什麼事在家裏講得清的，不要到學校來鬧，影響不好，你快到外面來講給我聽聽。,孫校長,surprise,12,3
103,孫校長，昨天晚上左正鵬把家裏的錢給生產隊買耕牛去了，弄得家裏沒有一分錢；我跟他母親頂嘴，他又說我沒有教養；我去合作社扯布也去不成了。你說，我的氣往哪兒消呀！他還是不是我的男人？,徐麗華,angry,13,0
104,小徐呀！這是件很小的事情。你別生氣。我叫左老師放學後給你溝通溝通下就行啦！哪有夫妻倆不吵架的？快回去啊！站在這裏不好看。,孫校長,neutral,13,1
105,孫校長，就拜託了，你要給他嚴厲地批評批評啊！使他心服口服。,徐麗華,angry,13,2
106,你們都要多作自我批評，少說別人缺點，要放下電筒拿起鏡子。你快點回去吧。,孫校長,neutral,13,3
107,麗華，你這在幹什麼？你這不是在糟塌糧食嗎？再說我今天肚裏還沒吃下一粒糧食呢！你忍心做出這種缺德的事來，能對得住我嗎？你還有沒有良心？,左正鵬,angry,14,0
108,良心！你有多大的良心？我今天打了一天的撲克，同樣沒有吃一口飯，你關心了嗎？你問過我一聲嗎？你還有臉說我沒良心，呸！左父在一旁聽不下去了，他走了過來。,徐麗華,angry,14,1
109,麗華，正鵬在學校上課，聽說早飯還沒有吃，可你自己說了今天打了一天的撲克。你家務事不做，飯也不給男人煮，還要找他胡鬧。天下有這樣的道理嗎？你自己好好想想吧！,左父,angry,14,2
110,我就是想好啦纔不給他煮飯的。,徐麗華,angry,14,3
111,這種女人太好強了。村子裏有誰的女人像她那樣對待自己的男人。兒呀！你的命好苦的，討了這麼個不講道理的女人，今後你的日子怎麼過下去呀！,左母,sadness,14,4
112,我不講道理，你叫他去討別的女人我一點也不稀罕！,徐麗華,angry,14,5
113,爸、媽，您們倆就少說幾句行嗎！和她講沒多大意思的。,左正鵬,disgust,14,6
114,閨女，你和正鵬倆又吵架了是嗎？,徐母,surprise,15,0
115,是的，爲了一點小事又和他吵了大嘴！,徐麗華,angry,15,1
116,你們爲點什麼小事吵了大嘴？快說給媽聽聽。,徐母,surprise,15,2
117,媽，昨天他把家裏的錢給生產隊買耕牛去了，我去扯布沒有錢了。還說我對他沒有良心。就是爲了這兩句話我們就吵起來啦！,徐麗華,angry,15,3
118,我不信。正鵬不讓你去扯布，一定有他的理由；說你對他沒有良心肯定有事實！,徐父,surprise,15,4
119,好啦！就別問她那麼多了。既然閨女回了孃家就讓她多住上幾天消消氣也好。世上哪有夫妻倆不吵架的事。反正孃家就是女兒的“根據地”。,徐母,neutral,15,5
120,誰說孃家是女兒的“根據地”？俗話說“嫁出去的女就是點出去的兵”！麗華，你明天應立即給我回去，不能久住！,徐父,neutral,15,6
121,老伴，你的心腸怎麼這麼狠呢？閨女剛來你就要趕她走，這也不近情理嗎！,徐母,disgust,15,7
122,老婆子，我不是心狠，你要知道“夫妻不記隔夜仇”的，你把閨女留在家裏，她倆的感情不就越來越鬆懈了嗎！,徐父,neutral,15,8
123,媽，麗華這次回到孃家有幾天啦。明天是星期天，我想去岳母家把情況跟她父母講講聽，不然她父母只聽她一面之詞，反說我們無道理呀！,左正鵬,fear,16,0
124,你去趟也好，不過你要維護自己的尊嚴，講話要把握好分寸，決不能讓她得寸進尺！騎在你的頭上。,左父,neutral,16,1
125,那個憨女人，正鵬你還順着她幹什麼？你就別去啦，看她回來不回來，如果不回來你就此了結了，反正又不是你給她攆走的。,左母,disgust,16,2
126,老婆子，你的話也不能那樣講。女人的見識比較短淺嘛，心底也狹窄。男人的胸襟要寬闊些。不是原則問題，當遷就的事就得遷就，不能和她論個高低，分個輸贏。只有這樣家庭才能和睦起來。你年輕時不也經常與我吵嘴嗎？要不是我有大海的胸懷，你早就在別人家裏吃飯去啦！我就是爲了家庭的團結和睦，處處地方對你的讓步，我們纔會一起走到今天，你知道嗎！,左父,neutral,16,3
127,正鵬，你來得正好。我們也準備將閨女送回來。這幾天你在家裏夠辛苦了。既要教學又要種田，你就原諒她些啊，都怪我們從小沒教育好她，使你受了氣，你就別往心裏頭想啊！,徐父,neutral,17,0
128,岳父，事物都是一分爲二的。只要你知道我沒有欺負她，沒有做出對不起她的事就行了。,左正鵬,neutral,17,1
129,正鵬，你不要跟女人一般見識，肚量要大些，麗華這幾天委,徐母,neutral,17,2
130,媽，我一定要正鵬當着您們的面賠個不是，我才能跟着他走，否則我是不回去的！,徐麗華,disgust,17,3
131,傻閨女，誰家兩口子沒有吵架的事，凡事都要互相忍讓，不能任性。聽見了沒有！賠什麼理，你都對！是嗎？,徐母,surprise,17,4
132,麗華，你也快三十歲的人啦！也應該改改自己的個性，任性是要不得的。今後我保證不跟你吵嘴了。我們要互相謙讓，互相尊重，過好我們的小日子。,左正鵬,neutral,18,0
133,今後我們吵不吵嘴也隨你的便，反正我要怎麼做，你非得順從我！這纔算得上我們互相融洽，互相包容，你懂嗎？,徐麗華,angry,18,1
134,麗華，今天你把600斤穀子稱給我行嗎？,左父,neutral,19,0
135,你把籮筐拿來，稱給你，還不行嗎，反正遲早也要稱給你的。,徐麗華,disgust,19,1
136,麗華，你這樣做能行嗎？這不是欺騙父母嗎？,左正鵬,angry,20,0
137,誰說這穀子是扁穀子？我們平日不也是吃這些穀子嗎？,徐麗華,disgust,20,1
138,別人不勞動，還想上等的穀子吃，休想！,徐麗華,angry,20,2
139,穀子的質量好壞都無所謂的，你們只要把數量稱足就行了！反正人人都會老的。,左父,neutral,20,3
140,麗華，你這個不懂倫理道德的女人，對父母這樣不忠孝，今後會遭到報應的！,左正鵬,angry,20,4
141,你們不勞而獲，比過去地主剝削農民還過餘！今後你們沒有好死！,徐麗華,angry,20,5
142,正鵬，你不要再擢了，我們寧願少吃的，只圖個安寧的日子呀！,左母,sadness,20,6
143,接上級指示精神，“國慶”節放假七天，請老師們佈置好同學們的家,孫校長,neutral,21,0
144,左老師，你明天是否也帶妻子去？,孫校長,neutral,21,1
145,你就別開我的玩笑了。我家的事情真是前波未平，後浪又起。昨天我和妻子爲稱父母的養老糧食又鬧翻了，你說我哪有心事帶她去芷江參觀呢！,左正鵬,surprise,21,2
146,左老師，我們是搞教育工作的，對妻子說話不能像對待學生那樣，一定要有策略性，講出的話要讓她能接受得了，今天晚上你去向她溝通溝通下，你還是帶她去吧！,孫校長,neutral,21,3
147,孫校長：“江河易改，秉性難移”呀！她是六月的杉木已經定了性。我這一輩子怕是斷送在她的手裏啦！,左正鵬,disgust,21,4
148,你的話也不能這麼講，難道你妻子沒有一點優點嗎？事物都是一分爲二的嗎！,孫校長,neutral,21,5
149,麗華，明天學校組織全體老師去芷江參觀抗日受降紀念坊。孫校長同意帶家屬，我也帶你去，不過一切費用自理。你看怎樣？,左正鵬,neutral,22,0
150,什麼？明天你要去芷江玩，你天天在學校還玩得不夠嗎？那天我去打撲克、扯布你說家裏沒有錢，明天去芷江你就有錢啦！不行，你不能去！,徐麗華,surprise,22,1
151,這是學校組織的政治學習，教育老師們不忘國恥，“弘揚抗戰精神”。老師們都是兩口子去呀！我倆還是一起去下，你不要太固執啦！,左正鵬,neutral,22,2
152,不忘國恥，弘揚抗戰精神，你說的好聽！你們分明是遊山玩水，還打着政治旗號呢！,徐麗華,disgust,22,3
153,麗華，這是一次難得的機會，我們還是一齊去吧！你怎麼都不理解我的感受呢？,左正鵬,sadness,23,0
154,昨天我不是跟你說了，你不能去芷江嗎，今天你又來煩我是嗎？快跟我滾開！,徐麗華,angry,23,1
155,這是學校安排的政治活動，也是我的正常工作，你管不着！,左正鵬,disgust,23,2
156,左老師，你真的沒有把妻子帶來？,孫校長,neutral,24,0
157,今天她到孃家有事去了。,左正鵬,neutral,24,1
158,喂，孫校長，真對不起，我先回家了，沒有當面向您請假，請原諒，你們離開芷江了沒有？,左正鵬,neutral,25,0
159,正鵬，你怎麼回家了呢？只要你在家裏就好。老師們不知道你去了哪裏，都在爲你擔心呀。都以爲你出了什麼事。正鵬，你爲什麼一個人要先回家呢？,孫校長,surprise,25,1
160,孫校長，你們都是夫妻雙雙在一起玩，多開心呀，而我卻打着單邊，心裏不是滋味。與其和你們在一起十分掃興，不如提前回家還好些。,左正鵬,sadness,25,2
161,啊！你原來還是這種想法，那又何必呢，我們在一起玩不是一樣的嗎！,孫校長,surprise,25,3
162,孫校長，感謝你們的關心，祝你們玩得痛快，好啦，回家後我們再聊吧！再見！,左正鵬,neutral,25,4
163,校長，你把電話給我，讓我也說幾句。,劉豔,neutral,25,5
164,他已經掛了。,孫校長,neutral,25,6
165,正鵬，前次我告訴你倆今後不要再吵架了，誰知只隔幾天時間你們又吵起來了，真是太丟人了。這次你倆到底又是爲了什麼事快跟我說清楚！,徐母,angry,26,0
166,岳母，你問問她自己吧！,左正鵬,angry,26,1
167,她早就跟我說了，講你要到芷江去旅遊是不是？現在你家裏沒有錢還旅什麼遊嘍，你也真是的！,徐母,angry,26,2
168,岳母呀！這是學校組織的政治學習，孫校長要求老師們都去，我能不去嗎？,左正鵬,surprise,26,3
169,啊！原來是這樣？麗華，這就是你的不對了，學校組織的政治學習，正鵬當然要參加嘛，你怎麼能干涉他呢？我打死你不可，原來你跟我匯的是假報——說他是去遊山玩水，我認爲是真的呢！,徐母,surprise,26,4
170,媽，這明顯是他的錯，你怎麼還爲他辯護呢？,徐麗華,surprise,26,5
171,傻閏女，這怎麼是他錯了呢？事實勝於雄辯嘛！你可知道“芷江受降紀念坊”是什麼地方嗎？它是中國人民打敗日本帝國主義，我國人民爲它舉行紀唸的地方，你知道嗎？,徐母,surprise,26,6
172,媽，他們是打着政治旗號去遊山玩水的呀！,徐麗華,disgust,26,7
173,你還在絞辯是嗎？他們去芷江“受降紀念坊”參觀學習叫做紅色旅遊你知道嗎？你這種社會見識都沒有，怪不得你經常和正鵬吵架！,徐母,angry,26,8
174,媽，什麼叫做紅色旅遊？,徐麗華,surprise,26,9
175,紅色旅遊就是有革命歷史意義，值得後人學習紀唸的地方。,徐母,neutral,26,10
176,你看，她理虧還要翹“尾巴”呢！正鵬你不要和她一般見識啊，這次你就原諒她，看她今後又會怎樣。中國有句古話：叫着“讓老婆，同自在”她的個性不好，這是沒有辦法的事。,徐母,neutral,26,11
177,媽，你住一夜再走吧！,徐麗華,neutral,26,12
178,我沒有好心情在你家裏住！,徐母,angry,26,13
179,媽，你怎麼啦？好像有什麼心事似的。,左正鵬,neutral,27,0
180,正鵬，昨天晚上你姨媽已經去世了。明天下午我們一起去致哀啊！,左母,sadness,27,1
181,哎喲！姨媽太可憐了。但是，得了絕症這是誰也沒辦法的事，媽，你心裏也別難過。明天你們先去，我放學後再來。,左正鵬,sadness,27,2
182,正鵬，這件事你一定要跟你麗華商量，可你一定要去啊。姨媽死只有這一次。你就是再忙也要擠時間去呀！,左母,sadness,27,3
183,媽，你放心，我一定會去的。,左正鵬,neutral,27,4
184,麗華，聽母親說姨媽昨天晚上與世長辭了。媽媽叫我們明天和她一起去向姨媽致哀。明天你和他們先去，我放學後再來，怎麼樣？,左正鵬,neutral,28,0
185,什麼？你姨媽去世了要我們去致哀！她是你媽媽的妹妹，與我們有什麼關係？再說你媽長期對我們是怎樣的態度你還不知道嗎？明天，我們不能去！,徐麗華,surprise,28,1
186,麗華，姨媽是我們的親人，她老人家走了我們都感到悲哀。至於我媽和你的關係不好那是另一回事嘛！,左正鵬,neutral,28,2
187,我說不能去就是不能去。明天你如果去了我會馬上追到她的靈堂去，到時你別說我不講道理！,徐麗華,angry,28,3
188,麗華，姨媽的去世是我們親戚中最大的事，我同你商量是對你最大的尊重，你在我跟前別老是好着強，明天我非去致哀不可！,左正鵬,neutral,28,4
189,你去就是，你去就是！明天你看我的厲害！,徐麗華,angry,28,5
190,徐麗華，你這個潑婦，今天你真的追到姨媽家裏來了，幸好親戚們不知其意，要不我被你丟盡了臉。好吧，回家去，老賬新賬我跟你一起算清！,左正鵬,angry,29,0
191,左正鵬，你這個砍頭的，昨天我是怎麼交待你的，叫你不要去，你爲什麼不聽我的話！你把我說的話當成耳邊風是嗎？,徐麗華,angry,29,1
192,你還想返回去是嗎？,徐麗華,angry,29,2
193,左正鵬，你竟敢打我，回家去你才知道我的厲害！,徐麗華,angry,29,3
194,左正鵬，你要幹什麼？,徐麗華,surprise,30,0
195,我要幹什麼！今天你跟我說清楚，你爲什麼要干涉我向姨媽去致哀？,左正鵬,angry,30,1
196,這就說明我說話算話你知道嗎？,徐麗華,angry,30,2
197,救命呀！左正鵬打人啦！,徐麗華,surprise,30,3
198,老伴，麗華把正鵬從這裏叫回家去了，說家裏有急事，不會吧？,左母,surprise,31,0
199,誰知道她倆內裏搞的是什麼鬼門堂！,左父,disgust,31,1
200,可能他們爲了什麼事又鬧起來了！,左母,neutral,31,2
201,他們要吵要鬧也隨他們自己了，反正我們也管不着。,左父,disgust,31,3
202,老伴，怎麼管不着呢！我們趕快回去看看。,左母,surprise,31,4
203,麗華，我被你氣死啦！你怎麼阻止正鵬去向姨母致哀呢？今天我在他家裏不好當着他們批評你，你知道嗎？你當我真的同情你啊！這是你的大錯特錯，你這樣做，他村子裏的人知道了是怎麼評論的你可知道嗎？再說，正鵬在他親戚眼裏還有沒有一點臉面？,徐母,surprise,32,0
204,啊！麗華，你原來還是這樣的，難怪正鵬會打你的，我也認爲他打得應該，今後你如果還是這樣的態度對待他家里人，我叫他狠狠地打！你這樣做是給我們臉上抹黑你知道嗎？你叫我們今後怎麼好意思去你家裏，再說，左家又還會有誰歡迎我們呢？你說呀！,徐父,angry,32,1
205,爸，我還是不是你女兒呀？你怎麼老是幫他們說話呢！,徐麗華,surprise,32,2
206,老伴，你就別見人落井下石啦，自己的閨女我們不是不知道，今後叫她注意點就行了，以前我說孃家就是女兒的“根據地”現在看來可不能這麼說了，過幾天叫她回去就是！,徐母,neutral,32,3
207,媽，我們做女人的好難啊！從孃家走到婆家，是女人人生里程的轉折點，誰知婆家有很多事情與我在孃家不一樣，我真是適應不了！,徐麗華,sadness,32,4
208,傻閨女，你在孃家還是黃花閨女，成天過着無憂無慮的生活，有父母這棵大樹爲你遮風擋雨；可是你結了婚，就要扛起家庭的大梁，爲自己的小日子奔波操勞，這當然不一樣嗎！今後你一定要改改個性，不然會要出事的呀！,徐父,neutral,32,5
209,左老師在家嗎？我虎子有道數學題不懂，麻煩你今天晚上來我家一趟給他輔導下有時間嗎？,娟子,neutral,33,0
